latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
22.307128669444445,114.17940430833335,38.6165,4.04167,291,2024,-15.250
22.30711896111111,114.1793915388889,28.1427,4.05000,291,2024,-14.921
22.30712146666667,114.17939402500004,28.4326,4.05833,291,2024,-14.746
22.30711995277778,114.17939628333335,28.3871,4.06667,291,2024,-14.700
22.307122586111117,114.17939591666668,27.9823,4.07500,291,2024,-14.262
22.307122441666667,114.17939363888893,28.1284,4.08333,291,2024,-13.683
22.307122769444444,114.17939381666667,28.014,4.09167,291,2024,-13.218
22.307121325000004,114.17939506111111,27.7661,4.10000,291,2024,-13.085
22.307121897222228,114.17939596388891,27.6969,4.10833,291,2024,-12.949
22.30712217222222,114.17939681944446,27.5265,4.11667,291,2024,-12.494
22.30712153055556,114.17939700555556,27.4726,4.12500,291,2024,-11.422
22.307121186111107,114.17939625277778,27.5577,4.13333,291,2024,-10.699
22.307121058333333,114.17939541111112,27.5081,4.14167,291,2024,-10.186
22.307121116666668,114.17939528333333,27.4458,4.15000,291,2024,-9.782
22.307121058333333,114.17939511944446,27.4167,4.15833,291,2024,-9.593
22.30712101388889,114.17939502222222,27.4021,4.16667,291,2024,-9.536
22.30712081944445,114.17939552777779,27.3452,4.17500,291,2024,-9.391
22.307120452777777,114.17939515555555,27.4171,4.18333,291,2024,-9.265
22.30712009166667,114.17939475833336,27.4371,4.19167,291,2024,-9.226
22.30712013055556,114.17939489444446,27.4023,4.20000,291,2024,-9.154
22.307120169444445,114.17939453055556,27.4482,4.20833,291,2024,-9.031
22.30712013888889,114.17939481388889,27.4106,4.21667,291,2024,-8.434
22.307119994444445,114.17939491944445,27.4048,4.22500,291,2024,-7.595
22.307119963888894,114.17939496388891,27.3839,4.23333,291,2024,-6.990
22.307120022222218,114.17939511111112,27.3913,4.24167,291,2024,-6.680
22.307120311111117,114.1793955388889,27.3786,4.25000,291,2024,-7.112
22.307120436111116,114.17939586111112,27.3799,4.25833,291,2024,-7.771
22.30712040555555,114.17939600833334,27.3822,4.26667,291,2024,-8.395
22.30712023611111,114.17939595,27.3658,4.27500,291,2024,-8.801
22.30712014444445,114.17939608888891,27.3743,4.28333,291,2024,-9.220
22.30712005,114.17939615277777,27.3872,4.29167,291,2024,-9.435
22.307119902777778,114.17939619999999,27.3848,4.30000,291,2024,-9.492
22.307119800000002,114.17939636388891,27.3874,4.30833,291,2024,-9.579
22.307119802777777,114.17939668333335,27.3707,4.31667,291,2024,-9.538
22.307119891666666,114.17939694166667,27.3441,4.32500,291,2024,-8.587
22.307119905555556,114.1793968888889,27.3713,4.33333,291,2024,-8.031
22.307119886111114,114.17939691944446,27.3688,4.34167,291,2024,-7.902
22.307119886111114,114.17939674444446,27.3698,4.35000,291,2024,-8.136
22.307119911111112,114.17939637777778,27.3797,4.35833,291,2024,-8.594
22.30711993611111,114.17939635833335,27.3705,4.36667,291,2024,-8.971
22.30712000277778,114.17939643333335,27.3797,4.37500,291,2024,-9.383
22.30712006111111,114.1793965416667,27.3824,4.38333,291,2024,-9.675
22.30712011944444,114.17939658055556,27.3783,4.39167,291,2024,-9.978
22.30712008055556,114.17939670833336,27.3656,4.40000,291,2024,-10.272
22.307120122222223,114.1793968138889,27.3658,4.40833,291,2024,-10.820
22.30712013333333,114.17939673055557,27.3627,4.41667,291,2024,-11.037
22.307120094444453,114.17939671666667,27.3508,4.42500,291,2024,-10.725
22.307120113888892,114.17939682222224,27.3345,4.43333,291,2024,-10.619
22.307120127777782,114.17939700833335,27.3241,4.44167,291,2024,-10.315
22.307120174999998,114.17939708055556,27.3249,4.45000,291,2024,-10.246
22.307120177777783,114.17939709166669,27.3358,4.45833,291,2024,-10.176
22.307120225000002,114.17939705833334,27.3359,4.46667,291,2024,-10.143
22.307120241666663,114.17939706944445,27.3219,4.47500,291,2024,-10.330
22.307120211111116,114.17939702777778,27.302,4.48333,291,2024,-10.569
22.307120233333332,114.17939707500003,27.2995,4.49167,291,2024,-10.974
22.307120244444448,114.17939718055555,27.3074,4.50000,291,2024,-11.397
22.307120269444447,114.17939729722222,27.3179,4.50833,291,2024,-11.557
22.30712028055556,114.1793973388889,27.3295,4.51667,291,2024,-11.742
22.3071203,114.17939738611112,27.3395,4.52500,291,2024,-11.659
22.307120297222223,114.17939748055558,27.355,4.53333,291,2024,-11.719
22.307120305555557,114.1793975527778,27.369,4.54167,291,2024,-11.871
22.30712032222222,114.17939753333336,27.3787,4.55000,291,2024,-11.929
22.307120375,114.17939749166668,27.3869,4.55833,291,2024,-12.182
22.307120377777782,114.17939742222224,27.3852,4.56667,291,2024,-12.496
22.307120375,114.1793973138889,27.3757,4.57500,291,2024,-12.784
22.30712035833334,114.17939721666669,27.369,4.58333,291,2024,-13.337
22.307120319444444,114.1793971,27.3669,4.59167,291,2024,-14.021
22.30712033611111,114.17939708333334,27.3864,4.60000,291,2024,-14.810
22.307120372222222,114.17939714444448,27.4,4.60833,291,2024,-15.653
22.307120411111114,114.17939724166668,27.4121,4.61667,291,2024,-16.353
22.307120436111116,114.17939731111112,27.4122,4.62500,291,2024,-16.013
22.307120427777782,114.17939726111112,27.4158,4.63333,291,2024,-16.115
22.307120411111114,114.17939722777778,27.4108,4.64167,291,2024,-16.473
22.307120355555558,114.1793971138889,27.3989,4.65000,291,2024,-17.004
22.307120308333335,114.17939705277779,27.3866,4.65833,291,2024,-17.724
22.307120297222223,114.17939706111112,27.3723,4.66667,291,2024,-18.410
22.30712032222222,114.17939709166669,27.3617,4.67500,291,2024,-18.779
22.307120352777776,114.17939708611112,27.3646,4.68333,291,2024,-18.927
22.307120372222222,114.17939708055556,27.3637,4.69167,291,2024,-19.064
